X,Y,Index_,Event_Unique_ID,Occurrence_Date,Occurrence_year,Month,Day_of_week,Occurrence_Hour,Time_Range,Division,Death,Injuries,Hood_ID,Neighbourhood,Long,Lat,ObjectId
-8857934.288,5411806.223,204,GO-2005883036,2005/01/28 05:00:00+00,2005,January,Friday,21,Evening,D22,0,0,13,Etobicoke West Mall (13),-79.57217757,43.6523955,104
-8834770.704,5430171.294,205,GO-2005896053,2005/01/29 05:00:00+00,2005,January,Saturday,23,Evening,D33,0,2,52,Bayview Village (52),-79.36409555,43.77164393,105
-8850687.852,5418869.692,206,GO-2005919556,2005/01/30 05:00:00+00,2005,January,Sunday,0,Night,D12,0,0,30,Brookhaven-Amesbury (30),-79.50708172,43.69828823,106
-8825344.279,5428576.462,207,GO-20051064463,2005/02/01 05:00:00+00,2005,February,Tuesday,0,Night,D41,0,1,126,Dorset Park (126),-79.27941653,43.76129774,107
-8850930.583,5425034.198,208,GO-2005732268,2005/02/01 05:00:00+00,2005,February,Tuesday,22,Evening,D31,0,0,25,Glenfield-Jane Heights (25),-79.50926221,43.73831154,108
-8818604.643,5425784.393,209,GO-2005901779,2005/02/06 05:00:00+00,2005,February,Sunday,23,Evening,D43,0,0,139,Scarborough Village (139),-79.21887335,43.74318039,109
-8840497.054,5431424.007,210,GO-2005928264,2005/02/07 05:00:00+00,2005,February,Monday,21,Evening,D32,0,1,37,Willowdale West (37),-79.41553623,43.77976942,110
-8835538.422,5412713.829,211,GO-2005832576,2005/02/09 05:00:00+00,2005,February,Wednesday,20,Evening,D51,0,1,73,Moss Park (73),-79.37099208,43.65829436,111
-8837188.518,5413101.802,212,GO-2005951634,2005/02/11 05:00:00+00,2005,February,Friday,17,Afternoon,D33,1,0,76,Bay Street Corridor (76),-79.38581514,43.66081576,112
-8815913.811,5428686.549,213,GO-2005901792,2005/02/11 05:00:00+00,2005,February,Friday,0,Night,D42,0,1,136,West Hill (136),-79.1947012,43.76201197,113
-8839488.966,5412471.8,214,GO-2005787630,2005/02/12 05:00:00+00,2005,February,Saturday,23,Evening,D14,0,2,78,Kensington-Chinatown (78),-79.40648042,43.65672138,114
-8859590.953,5427393.284,215,GO-2005736672,2005/02/12 05:00:00+00,2005,February,Saturday,0,Night,D23,1,0,2,Mount Olive-Silverstone-Jamestown (2),-79.58705964,43.75362093,115
-8856729.072,5424579.11,216,GO-2005955160,2005/02/13 05:00:00+00,2005,February,Sunday,0,Night,D23,0,0,3,Thistletown-Beaumond Heights (3),-79.56135093,43.73535778,116
-8835844.066,5414098.853,217,GO-2005918414,2005/02/15 05:00:00+00,2005,February,Tuesday,23,Evening,D51,1,0,71,Cabbagetown-South St.James Town (71),-79.37373773,43.66729501,117
0,0,218,GO-2005768554,2005/02/15 05:00:00+00,2005,February,Tuesday,5,Night,D41,1,0,NSA,NSA,0,0,118
-8837503.44,5411160.67,219,GO-2005955718,2005/02/20 05:00:00+00,2005,February,Sunday,0,Night,D52,0,1,77,Waterfront Communities-The Island (77),-79.38864414,43.64819947,119
-8832001.293,5413809.791,220,GO-2005943518,2005/02/21 05:00:00+00,2005,February,Monday,0,Night,D55,0,1,70,South Riverdale (70),-79.33921751,43.66541664,120
-8820423.91,5425221.765,221,GO-2005943440,2005/02/26 05:00:00+00,2005,February,Saturday,1,Night,D43,0,2,138,Eglinton East (138),-79.23521611,43.73952891,121
-8820858.75,5430447.645,222,GO-2005776194,2005/02/27 05:00:00+00,2005,February,Sunday,2,Night,D43,0,1,137,Woburn (137),-79.23912234,43.77343652,122
-8843889.626,5432372.067,223,GO-2005969241,2005/02/28 05:00:00+00,2005,February,Monday,2,Night,D32,1,0,35,Westminster-Branson (35),-79.44601222,43.78591811,123
-8829201.851,5425945.956,224,GO-2005953782,2005/03/04 05:00:00+00,2005,March,Friday,2,Night,D33,0,1,45,Parkwoods-Donalda (45),-79.31406969,43.7442289,124
-8833898.99,5425445.638,225,GO-2005953786,2005/03/05 05:00:00+00,2005,March,Saturday,20,Evening,D33,1,0,42,Banbury-Don Mills (42),-79.35626481,43.74098188,125
-8827902.187,5434114.725,226,GO-2005968835,2005/03/05 05:00:00+00,2005,March,Saturday,23,Evening,D42,0,0,117,L'Amoreaux (117),-79.30239461,43.79721854,126
-8819040.821,5427204.761,227,GO-2005949471,2005/03/06 05:00:00+00,2005,March,Sunday,6,Morning,D43,0,0,137,Woburn (137),-79.22279161,43.75239765,127
-8837503.44,5411160.67,228,GO-2005743293,2005/03/12 05:00:00+00,2005,March,Saturday,2,Night,D52,0,1,77,Waterfront Communities-The Island (77),-79.38864414,43.64819947,128
-8821896.512,5433286.305,229,GO-2005986104,2005/03/13 05:00:00+00,2005,March,Sunday,1,Night,D42,0,1,128,Agincourt South-Malvern West (128),-79.24844472,43.79184684,129
-8833294.15,5417281.091,230,GO-2005773526,2005/03/15 05:00:00+00,2005,March,Tuesday,16,Afternoon,D55,0,1,57,Broadview North (57),-79.35083144,43.68796984,130
-8820417.909,5422631.393,231,GO-2005993468,2005/03/16 05:00:00+00,2005,March,Wednesday,2,Night,D43,0,1,123,Cliffcrest (123),-79.2351622,43.72271441,131
-8835437.184,5412385.774,232,GO-20051030464,2005/03/17 05:00:00+00,2005,March,Thursday,10,Morning,D51,0,0,73,Moss Park (73),-79.37008264,43.65616228,132
-8851696.394,5428351.895,233,GO-2005946945,2005/03/20 05:00:00+00,2005,March,Sunday,20,Evening,D31,0,1,24,Black Creek (24),-79.51614161,43.75984076,133
-8844385.687,5422315.254,234,GO-20051016691,2005/03/21 05:00:00+00,2005,March,Monday,17,Afternoon,D32,0,1,31,Yorkdale-Glen Park (31),-79.45046841,43.72066198,134
-8831673.642,5435173.923,235,GO-20051017308,2005/03/23 05:00:00+00,2005,March,Wednesday,11,Morning,D42,0,1,48,Hillcrest Village (48),-79.33627417,43.80408597,135
-8833147.177,5417804.229,236,GO-2005761483,2005/03/25 05:00:00+00,2005,March,Friday,21,Evening,D55,0,1,57,Broadview North (57),-79.34951116,43.69136796,136
-8836772.461,5412837.191,237,GO-2005758325,2005/03/25 05:00:00+00,2005,March,Friday,10,Morning,D51,1,0,76,Bay Street Corridor (76),-79.38207764,43.65909609,137
-8855793.117,5427057.237,238,GO-20051017403,2005/03/25 05:00:00+00,2005,March,Friday,1,Night,D31,0,1,21,Humber Summit (21),-79.5529431,43.75144038,138
-8851538.882,5429488.059,239,GO-2005743823,2005/03/27 05:00:00+00,2005,March,Sunday,14,Afternoon,D31,0,1,24,Black Creek (24),-79.51472666,43.76721178,139
-8843660.901,5412682.355,240,GO-2005961606,2005/03/30 05:00:00+00,2005,March,Wednesday,3,Night,D14,0,0,83,Dufferin Grove (83),-79.44395755,43.65808981,140
-8856767.262,5415891.119,241,GO-2005771937,2005/03/31 05:00:00+00,2005,March,Thursday,16,Afternoon,D23,0,1,7,Willowridge-Martingrove-Richview (7),-79.56169399,43.67894014,141
-8861774.942,5424327.321,242,GO-20051013463,2005/03/31 05:00:00+00,2005,March,Thursday,15,Afternoon,D23,0,0,1,West Humber-Clairville (1),-79.60667875,43.73372347,142
-8838020.809,5417013.648,243,GO-2005777302,2005/04/01 05:00:00+00,2005,April,Friday,0,Night,D53,0,2,97,Yonge-St.Clair (97),-79.39329174,43.68623255,143
-8837216.971,5411036.837,244,GO-2005782484,2005/04/02 05:00:00+00,2005,April,Saturday,2,Night,D52,0,1,77,Waterfront Communities-The Island (77),-79.38607074,43.64739453,144
-8848585.336,5406168.014,245,GO-2005799672,2005/04/07 04:00:00+00,2005,April,Thursday,3,Night,D22,0,1,17,Mimico (includes Humber Bay Shores) (17),-79.4881945,43.61573777,145
-8827969.824,5433666.503,246,GO-20051008036,2005/04/08 04:00:00+00,2005,April,Friday,20,Evening,D42,0,1,117,L'Amoreaux (117),-79.30300221,43.79431221,146
-8861462.901,5425855.512,247,GO-20051018414,2005/04/09 04:00:00+00,2005,April,Saturday,0,Night,D23,0,1,1,West Humber-Clairville (1),-79.60387564,43.74364194,147
-8835293.032,5412513.773,248,GO-2005743298,2005/04/10 04:00:00+00,2005,April,Sunday,16,Afternoon,D51,0,3,73,Moss Park (73),-79.3687877,43.65699417,148
-8825544.884,5416871.913,249,GO-2005884190,2005/04/13 04:00:00+00,2005,April,Wednesday,0,Night,D41,1,0,122,Birchcliffe-Cliffside (122),-79.2812186,43.68531183,149
0,0,250,GO-2005809873,2005/04/15 04:00:00+00,2005,April,Friday,15,Afternoon,D42,0,0,NSA,NSA,0,0,150
-8817052.955,5431860.38,251,GO-2005954900,2005/04/15 04:00:00+00,2005,April,Friday,15,Afternoon,D43,0,1,135,Morningside (135),-79.2049343,43.78259962,151
-8835093.517,5413276.368,252,GO-2005843089,2005/04/17 04:00:00+00,2005,April,Sunday,23,Evening,D51,0,1,73,Moss Park (73),-79.36699543,43.66195021,152
-8819630.621,5433629.914,253,GO-2005838233,2005/04/17 04:00:00+00,2005,April,Sunday,1,Night,D42,0,1,132,Malvern (132),-79.22808987,43.79407495,153
